DateTime,Nuove catture (per evento),Media Temperatura,Media Umidità
2024-07-30,0.0,29.679166666666664,42.93416666666667
2024-07-31,0.0,29.01708333333333,51.39208333333334
2024-08-01,0.0,31.076666666666668,44.14833333333333
2024-08-02,0.0,27.97375,65.75875
2024-08-03,0.0,25.766666666666666,71.85208333333334
2024-08-04,0.0,27.273478260869563,59.91782608695652
2024-08-06,0.0,27.7025,54.09
2024-08-07,0.0,28.377916666666668,59.11625
2024-08-08,0.0,27.293333333333333,64.45416666666667
2024-08-09,0.0,26.31875,65.97375
2024-08-10,0.0,28.263333333333332,60.56791666666667
2024-08-11,0.0,29.51,55.92
2024-08-12,0.0,30.024583333333336,53.05458333333333
2024-08-13,0.0,30.414166666666663,51.13333333333333
2024-08-14,0.0,29.96666666666667,52.40375
2024-08-15,0.0,29.14833333333333,54.00625
2024-08-16,0.0,26.937916666666663,63.03541666666666
2024-08-17,1.0,28.3375,61.3375
2024-08-18,1.0,26.729583333333338,66.549375
2024-08-19,0.0,25.524583333333336,66.25750000000001
2024-08-20,5.0,21.543125,83.98041666666667
2024-08-21,0.0,22.89125,89.00124999999998
2024-08-22,3.0,26.80645833333333,67.18041666666667
2024-08-23,2.0,25.880625000000002,72.22979166666667
