DateTime,Nuove catture (per evento),Media Temperatura,Media Umidità
2024-07-06,0.0,25.77777777777778,56.67444444444445
2024-07-07,0.0,22.3425,72.2475
2024-07-08,0.0,23.517916666666665,76.72875
2024-07-09,0.0,25.669166666666666,69.14375
2024-07-10,0.0,25.87,53.647083333333335
2024-07-11,0.0,26.41,58.94375
2024-07-12,0.0,26.2625,54.38625
2024-07-13,0.0,26.169583333333332,57.74541666666667
2024-07-14,1.0,25.491666666666664,69.13708333333334
2024-07-15,0.0,25.960416666666664,68.72875
2024-07-16,1.0,26.97583333333333,57.115833333333335
2024-07-17,1.0,26.46333333333333,55.91
2024-07-18,0.0,27.664583333333336,55.03416666666666
2024-07-19,1.0,26.95583333333333,52.736875
2024-07-20,1.0,27.801875000000003,54.519999999999996
2024-07-21,1.0,26.82958333333333,63.965
2024-07-22,1.0,26.60166666666667,67.94541666666667
2024-07-23,0.0,25.0725,73.41291666666666
2024-07-24,1.0,27.015833333333333,65.69020833333333
2024-07-25,2.0,27.998333333333335,62.036875
2024-07-26,0.0,28.33833333333333,58.56208333333333
2024-07-27,0.0,27.534166666666668,65.52083333333333
2024-07-28,2.0,27.459166666666665,63.673750000000005
2024-07-29,0.0,27.36125,57.69625
2024-07-30,0.0,28.60375,51.475
2024-07-31,0.0,30.701666666666668,45.10541666666666
2024-08-01,0.0,29.77958333333333,52.00625
2024-08-02,0.0,28.05958333333333,53.085
2024-08-03,0.0,27.50708333333333,70.19
2024-08-04,0.0,27.08458333333333,73.9975
2024-08-05,0.0,27.015,66.25541666666666
2024-08-06,1.0,28.276666666666667,57.18875
2024-08-07,0.0,27.452916666666667,65.48458333333333
2024-08-08,0.0,26.965,64.51083333333334
2024-08-09,0.0,26.97583333333333,62.82791666666666
2024-08-10,0.0,28.13125,63.40833333333333
2024-08-11,0.0,29.72875,50.943333333333335
2024-08-12,0.0,29.824166666666667,56.43875
2024-08-13,0.0,29.86708333333333,52.525
2024-08-14,0.0,28.99125,49.2125
2024-08-15,0.0,28.039166666666663,63.81041666666667
2024-08-16,0.0,25.79833333333333,66.21666666666667
2024-08-17,0.0,27.37291666666667,61.594166666666666
2024-08-18,0.0,27.194166666666664,64.30499999999999
2024-08-19,0.0,23.343333333333334,83.12708333333333
2024-08-20,0.0,23.02208333333333,76.18333333333334
2024-08-21,0.0,24.29625,72.7275
2024-08-22,0.0,26.302916666666665,69.61874999999999
2024-08-23,1.0,26.880833333333335,64.013125
